date,q1_return,q2_return,q3_return,q4_return,q5_return,smb_mega,mkt_return,rf_rate
2020-01,0.0234,0.0267,0.0298,0.0334,0.0389,-0.0155,0.0312,0.0015
2020-02,-0.0456,-0.0423,-0.0387,-0.0345,-0.0289,0.0167,-0.0378,0.0014
2020-03,-0.0789,-0.0734,-0.0678,-0.0612,-0.0534,0.0255,-0.0689,0.0012
2020-04,0.0567,0.0623,0.0689,0.0767,0.0856,-0.0289,0.0734,0.0008
2020-05,0.0345,0.0389,0.0445,0.0512,0.0598,-0.0253,0.0467,0.0006
2020-06,0.0123,0.0156,0.0198,0.0245,0.0312,-0.0189,0.0234,0.0005
2020-07,0.0234,0.0278,0.0334,0.0398,0.0489,-0.0255,0.0367,0.0004
2020-08,0.0456,0.0512,0.0578,0.0656,0.0767,-0.0311,0.0623,0.0003
2020-09,-0.0234,-0.0198,-0.0156,-0.0109,-0.0045,0.0189,-0.0167,0.0003
2020-10,-0.0123,-0.0089,-0.0045,0.0012,0.0078,-0.0201,0.0023,0.0004
2020-11,0.0678,0.0734,0.0798,0.0878,0.0989,-0.0311,0.0834,0.0005
2020-12,0.0234,0.0278,0.0334,0.0398,0.0489,-0.0255,0.0367,0.0006
2021-01,0.0123,0.0167,0.0223,0.0289,0.0378,-0.0255,0.0245,0.0007
2021-02,0.0345,0.0398,0.0456,0.0534,0.0645,-0.0300,0.0489,0.0008
2021-03,0.0456,0.0512,0.0578,0.0656,0.0767,-0.0311,0.0623,0.0009
2021-04,0.0234,0.0278,0.0334,0.0398,0.0489,-0.0255,0.0367,0.0010
2021-05,-0.0123,-0.0089,-0.0045,0.0012,0.0078,-0.0201,0.0023,0.0011
2021-06,0.0345,0.0398,0.0456,0.0534,0.0645,-0.0300,0.0489,0.0012
2021-07,0.0123,0.0167,0.0223,0.0289,0.0378,-0.0255,0.0245,0.0013
2021-08,0.0234,0.0278,0.0334,0.0398,0.0489,-0.0255,0.0367,0.0014
2021-09,-0.0234,-0.0198,-0.0156,-0.0109,-0.0045,0.0189,-0.0167,0.0015
2021-10,0.0456,0.0512,0.0578,0.0656,0.0767,-0.0311,0.0623,0.0016
2021-11,0.0123,0.0167,0.0223,0.0289,0.0378,-0.0255,0.0245,0.0017
2021-12,0.0345,0.0398,0.0456,0.0534,0.0645,-0.0300,0.0489,0.0018
2022-01,-0.0345,-0.0298,-0.0234,-0.0156,-0.0067,0.0278,-0.0234,0.0019
